Titulo,Autor,Genero,ISBN,Estado
Cien años de soledad,Gabriel García Márquez,Realismo mágico,978-84-376-0494-7,Disponible
Don Quijote de la Mancha,Miguel de Cervantes,Novela clásica,978-84-376-0495-4,Prestado
La casa de los espíritus,Isabel Allende,Realismo mágico,978-84-376-0496-1,Disponible
El amor en los tiempos del cólera,Gabriel García Márquez,Romance,978-84-376-0497-8,Disponible
Rayuela,Julio Cortázar,Ficción experimental,978-84-376-0498-5,Disponible
La sombra del viento,Carlos Ruiz Zafón,Misterio,978-84-376-0499-2,Disponible
Como agua para chocolate,Laura Esquivel,Realismo mágico,978-84-376-0500-5,Disponible
El túnel,Ernesto Sábato,Ficción psicológica,978-84-376-0501-2,Disponible
Pedro Páramo,Juan Rulfo,Realismo mágico,978-84-376-0502-9,Disponible
La ciudad y los perros,Mario Vargas Llosa,Drama social,978-84-376-0503-6,Disponible
Ficciones,Jorge Luis Borges,Cuentos,978-84-376-0504-3,Disponible
El coronel no tiene quien le escriba,Gabriel García Márquez,Realismo social,978-84-376-0505-0,Disponible
Bestiario,Julio Cortázar,Cuentos,978-84-376-0506-7,Disponible
La tregua,Mario Benedetti,Drama,978-84-376-0507-4,Disponible
El laberinto de la soledad,Octavio Paz,Ensayo,978-84-376-0508-1,Disponible
Todos los fuegos el fuego,Julio Cortázar,Cuentos,978-84-376-0509-8,Disponible
La casa verde,Mario Vargas Llosa,Novela social,978-84-376-0510-4,Disponible
El Aleph,Jorge Luis Borges,Cuentos fantásticos,978-84-376-0511-1,Disponible
Crónica de una muerte anunciada,Gabriel García Márquez,Novela corta,978-84-376-0512-8,Disponible
Los detectives salvajes,Roberto Bolaño,Ficción contemporánea,978-84-376-0513-5,Disponible
La muerte de Artemio Cruz,Carlos Fuentes,Novela histórica,978-84-376-0514-2,Disponible
El reino de este mundo,Alejo Carpentier,Realismo mágico,978-84-376-0515-9,Disponible
Conversación en La Catedral,Mario Vargas Llosa,Novela política,978-84-376-0516-6,Disponible
62 Modelo para armar,Julio Cortázar,Ficción experimental,978-84-376-0517-3,Disponible
El juego de la rayuela,Julio Cortázar,Ficción,978-84-376-0518-0,Disponible
La región más transparente,Carlos Fuentes,Novela urbana,978-84-376-0519-7,Disponible
El siglo de las luces,Alejo Carpentier,Novela histórica,978-84-376-0520-3,Disponible
Sobre héroes y tumbas,Ernesto Sábato,Ficción psicológica,978-84-376-0521-0,Disponible
La hojarasca,Gabriel García Márquez,Realismo social,978-84-376-0522-7,Disponible
Terra Nostra,Carlos Fuentes,Novela histórica,978-84-376-0523-4,Disponible
Los pasos perdidos,Alejo Carpentier,Aventura,978-84-376-0524-1,Disponible
La mala hora,Gabriel García Márquez,Drama social,978-84-376-0525-8,Disponible
El obsceno pájaro de la noche,José Donoso,Gótico,978-84-376-0526-5,Disponible
Aura,Carlos Fuentes,Terror psicológico,978-84-376-0527-2,Disponible
Los ríos profundos,José María Arguedas,Indigenismo,978-84-376-0528-9,Disponible
